,eng,mar,eng_layer_1,mar_layer_1,eng_layer_8,mar_layer_8,eng_layer_16,mar_layer_16,eng_layer_24,mar_layer_24,eng_layer_30,mar_layer_30
132,what time do you get up on sundays,तुम्ही रविवारी किती वाजता उठता,[[ 0.1887  0.1852  0.2039 ... -0.2115  0.4387  0.1362]],[[ 0.03186 -0.1423   0.531   ...  0.1512  -0.275   -0.04437]],[[ 0.02257  0.185    0.2634  ... -0.0498   0.5947   0.7036 ]],[[ 0.7524  0.1087  0.4932 ...  0.806  -0.4172  1.069 ]],[[-0.582  -0.2788 -0.4434 ...  0.812   0.3672  0.9854]],[[ 0.782  -0.556  -0.442  ...  0.2832 -1.002   0.9854]],[[-2.373   0.2468 -0.831  ...  1.981   0.4363  2.002 ]],[[-0.461  -0.8447 -1.846  ... -0.1696 -0.8545  2.049 ]],[[-1.684   0.1779 -1.833  ...  0.1439  0.5347  1.624 ]],[[5.698e-01 4.573e-01 1.005e+00 ... 5.068e-01 8.789e-01 3.662e-04]]
133,i like bread,मला पाव आवडतो,[[-0.0784  0.173   1.008  ... -0.0894 -0.0177 -0.519 ]],[[-0.03128 -0.3972  -0.03467 ... -0.2197   0.5703  -0.7354 ]],[[ 0.733    0.03214  0.381   ... -1.106    0.6245  -0.7593 ]],[[ 0.691   0.879  -0.438  ...  0.406   0.9507 -0.1492]],[[ 0.844  -0.4663  0.8516 ... -0.9546  0.407  -0.09  ]],[[ 0.9717  0.366  -0.794  ...  0.4985  0.635  -0.5786]],[[ 1.496   -0.9316   1.533   ...  0.05176  0.2316  -1.116  ]],[[-0.04517  0.5854  -0.03625 ... -0.03336  0.4785   0.3745 ]],[[-0.2372  0.845   0.0718 ... -1.89   -0.4187  0.4675]],[[ 0.0854   3.312    7.73    ...  0.0432   0.3489  -0.03967]]
134,thats my problem not yours,तो माझा प्रॉब्लेम आहे तुमचा नाही,[[ 0.1136  -0.05017  0.5127  ...  0.3313   0.1302   0.213  ]],[[ 0.2201   0.2778   0.11414 ...  0.00227 -0.01843  0.462  ]],[[ 0.2115 -0.3171  0.31   ... -0.6953  0.758   0.2021]],[[ 0.4434  0.557  -0.673  ...  0.1917 -0.5146  1.309 ]],[[ 0.2482 -1.006   0.2372 ... -1.2295  1.142  -0.4668]],[[ 0.1996   0.3555  -0.848   ... -0.02908  0.08264  1.019  ]],[[ 0.1069 -0.5913  0.5835 ... -0.6797  1.806  -0.8916]],[[-0.2491  0.839  -2.213  ...  0.513   0.778   1.067 ]],[[-0.2593  0.382   0.4006 ... -0.4448  1.26   -0.8213]],[[-0.4556  1.489  -1.492  ...  0.2079 -0.8633 -1.594 ]]
135,tom was troubled by the news,टॉम बातमी ऐकून त्रस्त होता,[[-0.2542 -0.3396  0.0891 ...  0.3022  0.5103  0.1628]],[[ 0.01305  0.2708   0.3235  ...  0.3027  -0.1071   0.2803 ]],[[ 0.4268  -0.8447   0.01382 ... -0.2377   0.3481  -0.00757]],[[ 0.35     0.4465   0.2515  ...  0.2617   0.10095 -0.0791 ]],[[-0.2063  -1.08     0.671   ... -0.03207  0.517    0.519  ]],[[ 0.636    0.0815  -0.1157  ...  0.8486  -0.2397  -0.11884]],[[-0.955  -1.618   0.2079 ...  1.103   0.096   1.458 ]],[[-0.8726   0.06015 -1.827   ...  0.651   -0.6333   0.9585 ]],[[ 0.1283  0.3872  0.2637 ... -1.033  -0.1454  0.4175]],[[-0.9233  0.534  -0.3447 ...  0.638  -0.2832  0.3108]]
136,that book is easy,ते पुस्तक सोपं आहे,[[ 0.01349  0.3022   0.1826  ...  0.4536   0.2998  -0.401  ]],[[ 0.0867  0.1233  0.5376 ...  0.2812 -0.4927  0.1741]],[[ 0.3682   0.5327  -0.1514  ...  0.1995  -0.03143 -0.6074 ]],[[ 0.82    0.5405 -0.3552 ...  0.2588 -0.4395  0.2151]],[[-0.1586  0.8037  0.918  ...  0.1849  0.0257 -0.2708]],[[ 0.165   0.8076  0.2532 ...  0.3477 -0.4622 -0.609 ]],[[-1.348   1.389   1.949  ...  0.6133  0.3572 -0.793 ]],[[-1.832   1.543   0.5464 ...  0.3052 -0.649   0.0846]],[[-1.544    1.062   -0.189   ... -0.86     0.657   -0.03375]],[[-0.7505   1.494    1.904   ...  0.11584  0.82    -0.3726 ]]
137,do you know where everybody else is,बाकी सगळे कुठे आहेत हे तुम्हाला माहीत आहे का,[[-0.1492  -0.12164 -0.01526 ... -0.0655   0.02328  0.3025 ]],[[ 0.2048  0.4604  0.5806 ... -0.2559 -0.829  -0.32  ]],[[-0.1517   0.03775 -0.313   ...  0.1592   0.2297   1.03   ]],[[ 0.0785  0.7188  0.6377 ...  0.2157 -0.4175  0.262 ]],[[-0.147  -0.139  -1.286  ...  0.0905 -0.2406  1.376 ]],[[ 0.01918  0.2441  -0.5522  ...  0.2312  -0.5757   0.4392 ]],[[ 0.12054 -0.556   -1.838   ... -0.2825  -0.7344   0.3184 ]],[[-1.932  -0.0408 -1.5205 ...  0.8813 -0.791   0.7974]],[[-0.5684  0.239  -2.072  ... -1.3955 -0.8765  0.572 ]],[[-1.258   0.6353  0.7783 ...  1.4375  0.3052 -0.334 ]]
138,he kept on telling lies,तो खोटं बोलत गेला,[[ 0.1993  -0.241    0.517   ... -0.04346  0.1339   0.352  ]],[[ 0.3708   0.482    0.0679  ... -0.3027   0.03522  0.0931 ]],[[ 0.0164  -0.3486   0.3933  ... -0.02798 -0.2002   0.794  ]],[[ 0.534    1.216   -0.7905  ...  0.0951  -0.725   -0.11456]],[[-0.4175  -0.2203   0.245   ... -0.04346  0.0167   0.8164 ]],[[ 0.2112   0.824    0.02974 ... -0.155   -1.007    0.2915 ]],[[-0.551  -0.4558  0.552  ...  0.4495 -0.1995  1.918 ]],[[-0.2554  1.436  -0.4312 ... -0.0688 -1.385   0.5303]],[[-0.5063  0.57   -0.5117 ... -0.831  -0.3281  1.201 ]],[[-0.03583  1.906    0.5723  ... -0.648   -0.875    0.05518]]
139,i began to cry,मी रडू लागलो,[[-0.143    0.0989  -0.03082 ... -0.4595   0.10895  0.2288 ]],[[ 0.09705 -0.4663  -0.1362  ...  0.316   -0.855    0.1173 ]],[[ 0.3904 -0.254  -0.0984 ... -0.7617  0.5547  0.547 ]],[[ 1.244   0.592  -0.2637 ...  0.616  -1.15    0.9653]],[[ 0.977  -0.0687  0.571  ... -0.2446  1.152  -0.1212]],[[ 0.7017  0.1438 -0.46   ...  1.032  -1.003   1.143 ]],[[ 0.8735  0.732   0.5137 ... -0.1252  1.35    0.5967]],[[ 1.179  -0.565   0.2166 ...  0.2009 -2.744   3.242 ]],[[ 0.3792   1.463    0.03546 ... -1.637    0.4011   1.127  ]],[[ 1.453     1.601     0.4512   ... -0.006786 -1.269     0.332   ]]
140,that is not a tiger,तो वाघ नाही आहे,[[-0.0885   0.169    0.1727  ... -0.02005 -0.04022  0.0795 ]],[[ 0.002289  0.5117   -0.4153   ... -0.2323   -0.972     0.0672  ]],[[ 0.6475   0.527   -0.786   ... -0.734    0.1814  -0.06506]],[[ 0.5054  0.684  -1.664  ...  0.1282 -1.461   1.0625]],[[ 1.242  -0.2239 -0.936  ...  0.3396 -0.2002 -0.158 ]],[[ 0.552   0.508  -1.398  ... -0.1992 -1.205   1.162 ]],[[ 2.15    0.4976 -1.097  ...  2.453   0.1721  0.2534]],[[-0.1134  0.4004 -1.931  ...  0.1533 -0.5693  1.84  ]],[[ 0.7837   1.714   -1.325   ...  0.6147   0.2673   0.05908]],[[ 0.5625  1.376  -0.6216 ... -0.2727 -1.223  -0.2292]]
141,america is the greatest country in the world,अमेरिका जगातला सर्वात महान देश आहे,[[-0.02557  0.1274  -0.1848  ... -0.0515  -0.0546   0.00578]],[[ 0.4446 -0.3757  0.0907 ...  0.4092 -1.066  -0.1837]],[[ 0.7773    0.0667    0.005295 ...  0.1055   -0.1672    1.078   ]],[[ 0.7993  0.0692 -0.3254 ... -0.1213  0.0959  0.712 ]],[[-0.2058 -0.4146  0.3694 ...  0.9575 -0.3042  1.9375]],[[ 0.0627 -0.7007 -0.0761 ... -0.4165 -0.3982  0.7188]],[[-0.3555 -0.7896  1.242  ...  0.6753 -0.703   0.887 ]],[[-1.249  -0.958  -0.409  ... -0.1486 -1.076   0.579 ]],[[-0.292  -0.1181  0.96   ... -0.5625 -0.66    0.785 ]],[[-0.899   -3.016    0.00757 ... -1.729   -0.64    -0.2793 ]]
142,what time did you get up today,आज तुम्ही किती वाजता उठलात,[[0.2109  0.1482  0.09314 ... 0.05597 0.2585  0.09436]],[[ 0.013565 -0.07623   0.153    ...  0.2898    0.1893    0.1848  ]],[[-0.329   0.211   0.4263 ... -0.1259  0.1979  1.025 ]],[[ 1.008  -0.4617  0.6074 ... -0.4922 -0.5757  0.769 ]],[[-0.8706  0.1364 -0.736  ...  0.184  -0.2744  1.852 ]],[[ 1.167  -0.6514 -0.0821 ... -0.1953 -1.018   0.896 ]],[[-2.916   0.0729 -0.782  ...  0.63   -0.2654  2.832 ]],[[-0.4944 -1.051  -0.9297 ... -0.0991 -1.208   2.072 ]],[[-1.056  -0.1558 -1.763  ... -0.8857  0.1576  2.064 ]],[[-0.3958   0.01095  2.234   ... -0.1405   0.2954   0.4775 ]]
143,we were neighbors,आम्ही शेजारी आहोत,[[0.2625 0.7397 0.8477 ... 0.582  0.1698 0.2107]],[[ 0.5      0.639    0.1312  ...  0.4512  -0.06244  0.0729 ]],[[ 0.4287  0.949   0.1917 ... -0.0818 -0.1323  1.323 ]],[[ 1.069   0.849  -0.3655 ... -0.0826 -0.3447  0.9937]],[[0.6177  0.552   0.3645  ... 0.03052 0.1088  1.934  ]],[[ 0.8564  0.792  -0.5674 ...  0.24   -0.2974  1.781 ]],[[1.566   1.356   0.0337  ... 1.316   0.00912 2.367  ]],[[ 0.4119  0.675  -1.457  ...  0.722  -0.8354  1.969 ]],[[ 0.2644  1.249  -0.5054 ... -1.037  -0.8276  1.6455]],[[-0.829   0.4568 -0.6885 ...  0.3933  0.861   1.639 ]]
144,i waited for the bus,मी बसची वाट बघितली,[[-0.01762  0.1454   0.2174  ... -0.2505   0.2301   0.02315]],[[-0.1935  -0.08026  0.314   ...  0.0845  -0.02116  0.4175 ]],[[ 0.02573  0.0299  -0.2073  ... -0.5835   0.4136  -0.3647 ]],[[-0.1152  0.6226  0.1588 ...  0.598   0.2666  0.8057]],[[ 0.3303 -0.6206  0.282  ... -0.5356  0.1471 -0.3474]],[[-0.8965   0.628   -0.02731 ...  0.9404   0.5254   0.8003 ]],[[-0.9624 -1.001   0.987  ... -1.19    0.1919 -0.5234]],[[-2.104   -0.1587  -0.05783 ...  1.184    0.2411   1.511  ]],[[-0.503    0.995    0.05038 ... -1.491   -0.1364   0.3506 ]],[[-1.331 -1.035  2.047 ...  0.531 -0.801  0.112]]
145,i dont remember her name,मला तिचं नाव आठवत नाही,[[-0.659  -0.4211  0.2817 ... -0.1805  0.2032  0.558 ]],[[-0.09296  0.2756   0.222   ...  0.469   -0.4077   0.351  ]],[[-0.2278 -0.33   -0.3486 ... -0.3777  0.3774  1.404 ]],[[ 0.06757  0.9595  -0.168   ...  0.477    0.1947   0.2683 ]],[[ 0.5254 -0.4666  0.3523 ... -0.6577  0.2754  1.911 ]],[[-0.08136  0.3228   0.1439  ...  0.195    0.2216   0.1003 ]],[[ 1.216   -0.811    0.6934  ... -0.07935  1.316    1.77   ]],[[-1.597   -0.01317 -0.915   ...  0.654    1.482    0.3914 ]],[[-0.1401  1.164   0.2173 ... -0.4907 -0.1622  0.959 ]],[[-0.722   0.1604 -0.571  ...  1.349   0.8057 -0.354 ]]
146,it happened today,आजच घडलं,[[ 0.1437   0.01196 -0.1421  ...  0.4321   0.3613   0.5444 ]],[[ 0.161   0.086   0.2091 ...  0.838  -0.3618  1.247 ]],[[ 0.292   -0.04355  0.2747  ...  0.1525   0.2703   1.058  ]],[[ 0.9053 -0.583  -0.4082 ...  0.3208 -0.851   1.089 ]],[[ 0.4722   0.06104  0.4858  ...  0.2173  -0.1193   0.4917 ]],[[ 1.986  -0.815   0.1282 ...  0.7056 -0.827   0.8413]],[[0.7734 0.941  0.7686 ... 1.082  0.6387 0.5938]],[[ 2.055   -0.5464   1.06    ...  0.8843   0.01129  1.71   ]],[[ 0.2443  2.227  -2.371  ... -1.664  -0.4495  0.974 ]],[[ 0.939  -0.1523  6.15   ... -0.3403  0.7837  0.7754]]
147,i think that tom had a good reason,मला वाटतं टॉमकडे एक चांगलं कारण होतं,[[ 0.2484   0.07227  0.04282 ...  0.762   -0.02023  0.3833 ]],[[ 0.0694   0.08246  0.1443  ...  0.0954  -0.0871   0.06036]],"[[ 1.2024e-01 -1.1462e-01  2.4927e-01 ...  3.6926e-03  9.1553e-05
   4.3628e-01]]",[[0.3293 0.5312 0.0628 ... 0.5366 0.257  0.4597]],[[-0.234  -0.4321  0.495  ... -0.1887 -0.3567 -0.0528]],[[ 0.1198 -0.0786 -0.311  ...  0.717  -0.0735  0.856 ]],[[-0.9136  -0.258    0.4993  ... -0.5815  -0.01617 -0.692  ]],[[-0.2499  -0.4731  -1.217   ... -0.1046   0.01611  0.8887 ]],[[-0.528   0.1942 -0.1566 ... -0.7207  0.095  -0.6567]],[[ 0.9863  0.731  -0.1686 ... -0.487  -0.0325  0.9644]]
148,if it rains tomorrow will you stay at home,उद्या पाऊस पडला तर तुम्ही घरी राहाल का,[[ 0.0694  -0.2078   0.303   ... -0.03017  0.02522 -0.01379]],[[-0.2047 -0.2145 -0.3535 ... -0.4824  0.7246  0.0092]],[[ 0.11676 -0.4038   0.174   ... -0.1594   0.1417   0.3372 ]],[[ 0.576   0.254   0.2184 ... -0.688   0.0489  0.0638]],[[-0.319   -0.359    0.03009 ...  0.4275  -0.00949  0.84   ]],[[ 0.583    0.1653   0.0411  ...  0.02269 -1.052    0.05173]],[[ 0.574  -0.651   0.589  ...  0.8633  1.306   1.453 ]],[[-0.3022 -0.159  -0.649  ... -0.0759 -0.773   1.009 ]],[[-0.1866  0.589  -1.801  ... -0.743   0.668   1.186 ]],[[-0.3313  0.885   2.867  ...  0.244  -0.0554 -0.3193]]
149,he doesnt have any strength left,त्याच्यात अजिबात ताकद राहिली नाहीये,[[ 0.2112  -0.1748   0.04803 ... -0.593    0.1912   0.558  ]],[[-0.01897  0.0583   0.3455  ...  0.2957  -0.1796   0.1528 ]],[[-0.14     0.06635  0.0944  ... -0.9526   0.4219   0.8784 ]],[[ 0.4365  0.6353 -0.2468 ...  0.634   0.316  -0.084 ]],[[-3.843e-01 -1.038e-03  3.545e-01 ... -1.184e+00  7.383e-01  9.878e-01]],[[ 0.2896   0.2725  -0.301   ...  0.01422 -0.433    0.5396 ]],[[-1.532  -0.7695  0.796  ... -0.9824  1.545   1.121 ]],[[-0.6914  -0.12354 -0.8315  ...  0.2786   0.4834  -0.2443 ]],[[-0.978   0.183   0.2054 ... -1.06    0.8193  0.8477]],[[ 0.1021   0.01109  1.769   ...  0.4868   1.143   -0.5493 ]]
150,it could rain tonight,आज पाऊस पडू शकेल,[[ 0.2109  -0.21    -0.00464 ...  0.06464  0.1525   0.173  ]],[[-0.1382   0.2142  -0.08997 ...  0.0751   0.1061  -0.03998]],[[ 0.711  -0.3193  0.1669 ... -0.1301  0.621   0.363 ]],[[ 1.073   -0.08887 -0.4243  ... -0.2905  -0.4277  -0.2798 ]],[[ 1.017    0.05908  0.0148  ... -0.0709   0.1287   0.3408 ]],[[ 1.2     0.6523 -0.4263 ...  0.0658 -0.933  -0.708 ]],[[1.662  0.6963 0.7812 ... 0.872  0.3252 1.211 ]],[[ 0.733   0.8228 -0.533  ... -0.1808 -1.391   0.6436]],[[ 0.9937  1.211  -1.016  ... -0.957  -0.5415  0.8633]],[[ 0.3145  0.4788  0.927  ... -0.5186  0.4307 -1.024 ]]
151,lets make a cake,केक बनवूया,[[-0.04367 -0.6577   0.7075  ...  0.3765   0.562    0.1538 ]],[[ 0.324    -0.001318  0.2493   ...  0.03247  -0.699    -0.2292  ]],[[ 0.654   -0.4443  -0.3838  ... -0.03918  0.544    0.837  ]],[[ 1.207   0.2126 -0.565  ...  1.021  -1.031   0.7153]],[[ 1.157  -0.9243 -0.7227 ...  0.1245  0.445   1.758 ]],[[ 0.7705   0.11176 -0.569   ...  1.137   -1.215    1.096  ]],[[ 1.002 -1.126 -1.613 ...  1.543  0.794  2.693]],[[ 0.6895 -0.548  -1.259  ...  1.517  -2.002   2.93  ]],[[ 0.293  -0.4707 -0.3762 ...  0.2832 -0.0817  1.678 ]],[[ 0.2411 -0.536   0.4075 ...  0.84   -0.8784  0.3604]]
152,tom filled the car with gas,टॉमने गाडीत पेट्रोल भरलं,[[-0.315  -0.7188  0.0663 ...  0.8247  0.3618  0.3647]],[[ 0.1409  -0.07605  0.1934  ...  0.3572  -0.3445   0.623  ]],[[ 0.1636  -0.505    0.06964 ... -0.785    0.1898   0.6963 ]],[[ 0.566     0.006653  0.1089   ... -0.441    -0.0409    0.7075  ]],[[-0.2389  0.1979 -0.0155 ... -0.6777  0.1492  1.118 ]],[[ 0.6616  0.1816 -0.2134 ... -0.145   0.0816  0.537 ]],[[-1.506   0.2593 -1.283  ... -0.703   0.693   1.489 ]],[[-0.829  -0.4795 -1.998  ... -0.2866  0.336   1.504 ]],[[-1.475   1.718  -0.977  ... -1.076   1.043   0.7446]],[[-0.934   0.1594  1.527  ...  0.2646  0.1345  0.555 ]]
153,yesterdays vices are tomorrows customs,कालचे दुर्गुण उद्याच्या पद्धती,[[ 0.74     0.03754 -0.0733  ... -0.1321   0.2695   0.4023 ]],[[-0.2118 -0.4255 -0.2437 ... -0.482  -0.1859  0.639 ]],[[ 0.635  -0.242   0.1605 ... -0.1472  0.7134  0.4487]],[[-0.7485  0.555  -0.438  ... -0.8184  0.389   1.114 ]],[[ 0.6157  -0.9785   0.486   ...  0.09247  0.4998   0.673  ]],[[ 0.01572  0.2161  -0.0314  ... -0.9414   0.08215  1.391  ]],[[ 0.6187 -2.906   1.619  ...  0.946   0.3105  0.0786]],[[-1.015  -0.787  -0.201  ... -0.322   0.4026  1.045 ]],[[ 0.882  -1.281   1.332  ... -0.2568  0.3635  0.5024]],[[ 1.162   -1.204    3.41    ... -0.3667   0.07263  1.111  ]]
154,he comes round once a week,तो आठवड्यातून एकदा येऊन जातो,[[ 0.1686  -0.1482   0.7715  ...  0.08905 -0.10645  0.165  ]],[[-0.02141 -0.3027  -0.07916 ... -0.6035   0.1316  -0.5957 ]],[[ 0.3062  -0.169    0.536   ... -0.00765  0.0416   0.719  ]],[[ 0.1223    0.7827   -0.734    ... -0.3477   -0.624    -0.004475]],[[ 0.8613   0.288   -0.3647  ... -0.04636  0.1517   0.584  ]],[[-0.224    0.4824   0.03354 ...  0.4448  -0.4602   0.82   ]],[[-0.009766  0.8657    0.54     ... -0.00578  -0.08356   2.98    ]],[[-0.5464 -0.3455 -0.0446 ...  0.941   0.1604  1.457 ]],[[ 0.1263   1.172   -0.685   ... -1.629    0.01339  2.91   ]],[[ 0.599   1.227   1.052  ...  0.803   0.381  -0.0638]]
155,i gave some of my old clothes to the salvation army,मी माझे काही जुने कपडे सॅल्व्हेशन आर्मीला देऊन टाकले,[[-0.532    0.1637   0.1771  ...  0.01349  0.04993  0.4697 ]],[[ 0.01862  0.05145 -0.01044 ... -0.1562  -0.11597  0.5566 ]],[[-0.3127   0.01107  0.03543 ... -0.5093   0.3062   0.526  ]],[[ 0.05743  0.9893  -0.3916  ...  0.1527   0.1914   1.186  ]],[[ 0.10376   0.013756  0.1589   ... -0.9775    0.77      0.2021  ]],[[ 0.02046  0.619   -0.3735  ...  0.3203   0.12274  0.8975 ]],[[-0.5713 -0.03    1.529  ... -0.465   0.5205  0.4844]],[[-0.399   0.4792 -1.3545 ...  0.7944  0.3213  1.545 ]],[[-0.6064  1.586   2.336  ... -1.342  -0.145   0.839 ]],[[-0.1399  0.9976  1.001  ...  0.63    0.6313  0.1875]]
156,tom isnt well,टॉम बरा नाहीये,[[ 0.0246  -0.6113   0.541   ...  0.07416  0.582   -0.02798]],[[-0.10504  0.08307  0.5195  ...  0.10175 -0.3306  -0.07477]],[[ 0.09143 -0.5464   0.2627  ... -1.73     0.535    0.1595 ]],[[ 0.1946   0.09674  0.2905  ... -0.488   -0.879    0.01221]],[[ 0.12463 -0.6777   0.6924  ... -1.096    0.595   -0.05035]],[[ 0.3257    0.003809 -0.129    ...  0.1421   -1.295     0.1621  ]],[[ 0.474 -0.814  1.39  ... -0.558  1.109 -0.721]],[[-0.1515  0.1049 -2.02   ... -0.167  -0.5093  1.254 ]],[[-1.312   -0.3167   0.7554  ... -1.125   -0.10474 -0.966  ]],[[-0.9272   0.075   -0.481   ... -0.148    0.325   -0.04303]]
157,i didnt eat anything else,मी अजून काहीही खाल्लं नाही,[[ 0.01888 -0.371    0.0703  ...  0.26     0.06805  0.2037 ]],[[-0.06305  0.03806 -0.2001  ... -0.1991  -0.4016   0.2034 ]],[[ 0.2109  -0.04248  0.172   ... -0.8      0.0646   0.438  ]],[[ 0.4536   0.9194  -0.378   ...  0.5054  -0.6157   0.07526]],[[ 0.604   0.0394  0.619  ... -0.683  -0.1683  0.807 ]],[[ 0.8477  0.2627 -0.7    ...  0.3364 -1.103   0.328 ]],[[-0.5283 -0.0953  0.88   ...  0.0881  2.123   0.5176]],[[-0.2415 -0.271  -1.295  ... -0.35   -1.483   0.503 ]],[[-1.357   0.6997 -0.226  ... -1.011   1.148   0.83  ]],[[-0.0851  -0.00539  1.446   ... -0.814   -0.1843  -0.6147 ]]
158,what dont you have,काय नाही आहे तुझ्याकडे,[[-0.763   -0.0819   0.00928 ... -0.09955  0.0747   0.148  ]],[[-0.8667   0.135   -0.2383  ... -0.0998  -0.9053  -0.04694]],[[-0.5503  -0.09705 -0.367   ... -0.554    0.7017   0.783  ]],[[-0.97     1.07    -0.10455 ... -0.167   -0.25     0.10583]],[[-0.6855 -0.8945  0.54   ...  0.1433  0.2847  0.7036]],[[-0.8364  0.4998 -0.1818 ... -0.58   -0.744   0.2131]],[[-1.082  -2.242   0.4001 ...  0.344   0.9854  1.158 ]],[[-1.692   0.755  -0.776  ...  0.2028  0.7974  0.9507]],[[-1.201  -1.405  -0.699  ... -1.055   0.4673  0.685 ]],[[-1.188   1.653   1.612  ...  0.414   0.1829 -0.542 ]]
159,you could win lots of money,तू भरपूर पैसे जिंकू शकतेस,[[ 0.1567 -0.346   0.3967 ...  0.479  -0.324  -0.2766]],[[-0.1753  0.2666  0.0406 ...  0.0581 -0.1532  0.1859]],[[ 0.0842  0.1382  0.1919 ...  0.1857 -0.4966  0.3867]],[[ 0.8057  0.907   0.0855 ...  0.794  -0.86    1.009 ]],[[ 0.1103    0.1686   -0.004353 ...  0.089    -0.728     0.892   ]],[[ 0.8936  0.2732 -0.2317 ...  0.7856 -1.265   1.318 ]],[[ 0.8833  0.5063 -0.519  ...  1.545  -1.494   2.193 ]],[[ 0.2898    0.003279 -0.424    ...  0.9023   -1.756     2.564   ]],[[ 0.3699   0.09607 -1.791   ... -0.1602  -0.3994   1.831  ]],[[ 0.176   0.58    2.248  ...  1.93   -0.6206  0.346 ]]
160,did tom go to australia in october,टॉम ऑक्टोबरमध्ये ऑस्ट्रेलियाला गेला का,[[-0.04926 -0.1239   0.251   ...  0.04504 -0.1156   0.3345 ]],[[-0.0668   0.03378  0.03537 ...  0.4995  -0.1582   0.2008 ]],[[ 0.2031  0.5776  0.2905 ... -1.405   0.4626  0.416 ]],[[ 0.2578    0.1134    0.001373 ... -0.382     0.1252    0.3071  ]],[[ 0.559    0.5166   0.65    ... -1.292    0.59     0.02039]],[[ 0.827  -0.2242 -0.2433 ...  0.416  -0.0775  0.1584]],[[-1.086  -0.3933  0.5576 ... -1.627   0.1489  0.875 ]],"[[-4.8584e-01 -5.5615e-01 -1.5205e+00 ...  3.6621e-04  6.8066e-01
   1.2266e+00]]",[[ 0.4075 -0.6973 -0.338  ... -2.387   0.1901  1.466 ]],[[-0.2646  0.3633  1.553  ...  0.8643  0.2466 -0.1328]]
161,the man took my arm,त्या माणसाने माझा हात घेतला,[[-0.0853 -0.1428  0.786  ...  0.1765  0.1954  0.1838]],[[ 0.3489   0.2456  -0.09467 ...  0.341   -0.1825   0.0319 ]],[[ 0.851  -0.572   0.177  ... -0.8706  0.4973  0.2471]],[[ 0.849    1.281   -0.03069 ...  0.657   -0.04236  0.2822 ]],[[ 1.106   -0.7524  -0.3496  ... -0.6963   1.653    0.02917]],[[ 0.6416  0.9395 -0.443  ...  0.7163  0.3804  0.902 ]],[[ 1.271  -1.355   0.837  ... -0.1222  1.779   0.929 ]],[[-0.8      0.07153 -1.041   ...  1.493    0.606    1.115  ]],[[ 1.21    0.0656 -0.2832 ... -0.6504  1.026   0.2954]],[[ 1.241  -0.365  -1.071  ...  0.9634 -1.19    0.3394]]
162,what did we get,आम्हाला काय मिळालं,[[-0.3125  0.1572  0.3196 ...  0.0558  0.2274 -0.2125]],[[-0.261  -0.0499  0.2283 ... -0.2054  0.2284  0.588 ]],[[-0.2607  0.198   0.1376 ... -0.0925  0.0609  0.375 ]],[[-0.10156  1.034    0.274   ...  0.03302 -0.137    1.152  ]],[[-0.586   0.1626 -0.0897 ... -0.1859 -0.4382  1.18  ]],[[ 0.4321   0.2482   0.1272  ...  0.01201 -0.423    1.11   ]],[[-1.315  -1.216   0.3115 ...  0.55   -1.781   2.908 ]],[[-0.6743  -0.826    0.01074 ...  0.2805  -0.6553   2.004  ]],[[-0.612  -0.9756 -1.032  ... -0.737  -0.95    1.189 ]],[[-0.6714    0.349     2.436    ...  0.3748   -1.174     0.007374]]
163,whats your real name,तुमचं खरं नाव काय आहे,[[ 0.4006  -0.2893   0.683   ...  0.374    0.01143  0.5625 ]],[[-0.09045  0.1759   0.3357  ...  0.3674  -0.03812  0.313  ]],[[ 0.2396  0.2595 -0.319  ... -0.367   0.611   0.525 ]],[[0.2551 0.4346 0.5723 ... 0.4983 0.2059 1.553 ]],[[-0.513   -0.06207  0.4084  ... -0.5703   0.5986   0.9497 ]],[[ 0.2408  -0.5894   0.6826  ...  0.10284  0.583    0.906  ]],[[-0.5693  1.406   0.9453 ... -0.8003  1.242   1.57  ]],[[-1.501   0.3057 -0.3677 ...  1.16    0.4978  0.4172]],[[-1.151   0.8276 -1.626  ... -0.271   0.465   1.547 ]],[[-0.9604  0.6533  0.9043 ...  1.464  -0.657  -0.62  ]]
164,tom avoided mary,टॉमने मेरीला टाळलं,[[-0.4407 -0.9346  0.0606 ...  0.8013  1.17    0.2155]],[[ 0.09485  0.2507   0.4834  ...  0.561   -0.5444   0.4873 ]],[[ 0.2012 -1.115  -0.698  ...  0.3115  0.9395  0.566 ]],[[ 0.001744  0.3171    0.3132   ... -0.536    -0.2158    0.8735  ]],[[ 0.2477 -0.6587  0.2245 ...  0.0751  1.922   0.584 ]],[[ 1.346   -0.4048  -0.0194  ... -0.225    0.06824  0.99   ]],[[-2.139  -0.944   0.0837 ... -0.277   3.8     0.5127]],[[ 0.3909 -0.4524 -0.4478 ...  0.4585  0.8438  0.7847]],[[-1.673  -0.609  -0.3286 ... -1.135   1.149   0.228 ]],[[0.5547 0.3008 1.385  ... 0.1805 1.012  1.05  ]]
